DEBUG | 17:25:23 76234 [Router] Ignore dupe incoming msg (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8 rxRSSI=-32 hopStart=1
DEBUG | 17:25:23 76234 [Router] cancelSending id=0x28c42528, removed=0
DEBUG | 17:25:23 76234 [Router] Incoming msg was filtered from 0xbb8106c4
DEBUG | 17:26:12 76283 [RadioIf] Corrected frequency offset: -1264.582642
DEBUG | 17:26:12 76283 [RadioIf] Lora RX (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxSNR=8.75 rxRSSI=-32 hopStart=1 relay=0x30)
DEBUG | 17:26:12 76283 [RadioIf] Packet RX: 321ms
INFO  | 17:26:12 76283 [Router] Packet History - insert: Reusing slot aged 4404.420s TRACE OLDEST SLOT
DEBUG | 17:26:12 76283 [Router] Use channel 0 (hash 0xec)
DEBUG | 17:26:12 76283 [Router] Use AES256 key!
DEBUG | 17:26:12 76283 [Router] decoded message (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864372 rxSNR=8.75 rxRSSI=-32 hopSt
DEBUG | 17:26:12 76283 [Router] handleReceived(REMOTE) (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864372 rxSNR=8.75 rxRSSI=-3
DEBUG | 17:26:12 76283 [Router] Module 'DeviceTelemetry' wantsPacket=1
INFO  | 17:26:12 76283 [Router] Received DeviceTelemetry from=0x6c743130, id=0xc5b14d94, portnum=67, payloadlen=28
INFO  | 17:26:12 76283 [Router] (Received from 3130): air_util_tx=1.265639, channel_utilization=0.535000, battery_level=101, voltage=-0.001000
DEBUG | 17:26:12 76283 [Router] updateTelemetry REMOTE node=0x6c743130 
DEBUG | 17:26:12 76283 [Router] Node status update: 2 online, 3 total
DEBUG | 17:26:12 76283 [Router] Module 'DeviceTelemetry' considered
DEBUG | 17:26:12 76283 [Router] Module 'routing' wantsPacket=1
DEBUG | 17:26:12 76283 [Router] Routing sniffing (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864372 rxSNR=8.75 rxRSSI=-32 hopS
INFO  | 17:26:12 76283 [Router] Rebroadcast received message coming from 30
INFO  | 17:26:12 76284 [Router] Packet History - insert: Reusing slot aged 0.148s TRACE MATCHED PACKET
DEBUG | 17:26:12 76284 [Router] Use AES256 key!
DEBUG | 17:26:12 76284 [Router] enqueue for send (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864372 rxSNR=8.75 rxRSSI=-
DEBUG | 17:26:12 76284 [Router] txGood=2746,txRelay=1334,rxGood=2693,rxBad=21
DEBUG | 17:26:12 76284 [Router] rx_snr found. hop_limit:0 rx_snr:8.750000
DEBUG | 17:26:12 76284 [Router] rx_snr found in packet. Setting tx delay:1275
DEBUG | 17:26:12 76284 [Router] Delivering rx packet (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864372 rxSNR=8.75 rxRSSI=-32 
DEBUG | 17:26:12 76284 [Router] Update DB node 0x6c743130, rx_time=1785864372
INFO  | 17:26:12 76284 [Router] Sort took 0 milliseconds
DEBUG | 17:26:13 76284 [Router] Forwarding to phone (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864372 rxSNR=8.75 rxRSSI=-32 h
DEBUG | 17:26:13 76284 [Router] Module 'routing' considered
INFO  | 17:26:13 76284 Tell client we have new packets 4329
DEBUG | 17:26:13 76284 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:26:13 76284 [Serial] phone downloaded packet (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864372 rxSNR=8.75 rxRSSI=-
